id,text_nps
386,Pořád je co zlepšovat
387,Až na drobnosti jsem spokojená
388,vysoká profesionalita kvalitní produkty
389,Ochota bankovního poradce (i mimo objednanou dobu) 
390,Neváží si stálých klientů.Bylo mi odmítnuto složit peněžní obnos bez poplatku na svůj účet
391,"Jsem poměrně konzervativní, takže nepožaduji příliš moderní aplikace, na druhé straně mi záleží na bezpečnosti - a nemám pocit, že by v KB bylo něco špatně... Na druhé straně vím že mé děti směřují hlavně k bezplatným účtům a vše po internetu, takže jim doporučovat KB je poněkud mimo. Ale - i viz výše - mám k supermoderním technologiím 'nedůvěru získanou zpravidla vzděláním' :-)"
392,jsou to peníze
393,Upřednostňujete lidi
394,Rychle vybaveni  i odbaveni.
395,Spolehlivost
396,Spolehlivost 
397,Jsem s ní celkem spokojený. 
398,Jsem z vaší bankou velice spokojen 
399,Zodpovědný přístup informovanost a ochota personálu děkuji
400,nepružnost
401,Naprostá spokojenost.
402,spokojenost s poskytovanými službami
403,3333333333
404,neustálé poplatky za služby
405,Vzhledem k tomu
406,Jste nápomocni pokud potřebujeme poradit
407,Neustálé poruchy bankomatu v okolí
408,Jsem spokojen se službami přes internet a spolehlivostí KB při odesílání pravidelných plateb. 
409,jsem spokojený
410,Velmi nízké zhodnocení dlouhodobých vkladů.  
411,"Jsem velice spokojena s Vašimi poradci. Jsou velmi ochotni, i když nejsem objednána. Do žádného produktu člověka nenutí, trpělivě všechny výhody i nevýhody vysvětlí. To je pro mě velmi důležité, v některých bankách to takto není. Poradci jsou velmi důležití !!!!!!"
412,stará verze internetového bankovnictví pro firmy by měla pokračovat spolu s novější verzi protože pro zpracování a evidence plateb je přehlednější! 
413,Velmi vstřícný a aktivní přístup.
414,Jelikož jsem už doporučil v rodině KB a po několika letech
415,Jeden bod jsem ubral za zrušení certifikátu při přihlašování do bankovnictví.
416,nemám co vytknout
417,Pracovní doba mi neumožňuje konzultaci v jakékoliv bance.Dříve bylo otevřeno o víkendu ale to 
418,Vstřícnost
419,Jsem s KB velmi spokojena. Vždycky
420,PROSTĚ JSEM SPOKOJEN
421,Spokojenost vice jak 30let .... zdokonalení zabezpečení .... přehlednost účtu
422,za ty  léta mám jen tu jedinou banku a jsem spokojený s přístupem a ochotou bankovním poradcem a se všema službama které poskytujete 
423,snaha najít pro mne to nejvýhodnejší řešení.
424,Banka má lidský přístup
425,Vzhled a ovládání mobilní banky
426,Jistota
427,spolehlivá
428,Poplatky za odchozí a příchozí platby
429,ok 
430,Kb je moje prvni banka
431,Jsem s vašimi službami spokojená
432,Nemám co vytknout 
433,Jsem velmi spokojena
434,Služby jsou spolehivé. Jen mě někdy nebaví hledat bankomaty a vadí mi
435,Jsem osobně se službami KB velmi spokojen
436,Některé věci mi na bance stále vadí
437,Super přístup celého kolektivu KB Šumperk
438,De  facto  jsem úplně spokojená a proč  
439,Nové technologie pro klienty. Přístup.
