id,text_nps,
392,Příjmené osobní jednání s bankovním poradcem.,
393,Jsem velmi spokojená s poskytováním služeb ,
394,Z dúvodu některých poplatkú,
395,Spokojená vždy milá mladá paní co má můj účet na starost,
396,Nevažíte si klientů,
397,Musím říci. že jsem spokojená a to myslím mluví za vše.,
398,Vždy,
399,Vše bez problémů,
400,Vždy je možnost se zlepšovat,
401,Díky nedostatku času nerad kvůli všemu chodím do banky. Raději řeším vše on line. ,
402,Málo bankomatů a poplatky za výběr v bankomatu jiných bank. ,
403,spokojenost s přístupem na pobočce ,
404,Služby KB mi vyhovují. KB beru jako důvěryhodnou nadnárodní banku a věřím,
405,Přístup perzonálu.,
406,Zastaralé mobilní bankovnictví . Jelikož nemám počítač nemám přístup k internetovému bankovnictví ,
407,Vždy jsem byla maximálně spokojená s ochotou,
408,Slušné jednání,
409,KB si neváží stálých a dlouholetých klientů nenabízí jim nic lepšího než nové příchozím !,
410,Vzdy mi vysli vstric i v tech nejkomplikovanejsich situacich. ,
411,Na K.B. v Sokolově při jednání jsem byl vždy spokojený a mé dotazy byly vyřešeny k mé spokojenosti. Váš pracovník pan Kolda se mi věnoval s noblesou,
412,Intuitivně,
413,Spolehlivé služby,
414,Pokaždé mi pomohli vyřešit problém který jsem potřebovala,
415,Vse ok,
416,Zrušit poplatky,
417,Ne všude jsou vkladomaty v bankomatech,
418,ok,
419,Prostě jsem spokojena se vším.  Krásné Vánoce a úspěšný rok 2020. Lenka Lokvencová,
420,jsem spokojena když jsem něco potřebovala vždy mě bylo vyhověno Krčmová,
421,Som na 100% spokojny. ,
422,Profesionální a individuální přístup k zakázníkovi,
423,"Dobrý den, Vážení, když jsem si chtěl u Vás založit účet, tak mě Váš kontrolní systém nutil změnit můj originální, autentický a vlastnoruční podpis. S tím jsem samozřejmě nemohl souhlasit. S přáním hezkých svátků, Kpt. Dipl. Ing. Jiří Vrátníček",
424,Perfektní služby,
425,Navštívila jsem pobočku a dlouho si mne nikdo nevšiml,
426,Protože v Česku je hodně bank,
427,Pobočka KB v Moravském Krumlově se ruší. 'Nahradí'  ji vkladový bankomat,
428,Spokojenost,
429,Uvítal bych nižší poplatky za vedení účtu ,
430,Služby výborné,
431,Dvěma slovy: Žádný Problém :),
432,Snadná aplikace Výhodný studentský účet  Rychlý převod peněz ,
433,Nemusím chodit do kamenné banky.,
434,Nijak nepřevratné produkty pro běžného smrtelnika.,
435,dokonalý je jen bůh,
436,vzhovuje mi,
437,Vstřícná komunikace,
438,Jsem spokojená s vedením účtu,
439,zbytečně složité přihlašování do internetového bankovnictví.,
440,Jsem se službami banky spokojená.,
441,Dobré služby až na internetové bankovnictví.,
442,Rychlost a ochota a snaha pomoci,
443,Nic nefunguje jak má,
444,JEDNODUŠE SPOKOJENA,
445,Spíš se jedná o mé obecné výhrady k oboru bankovnictví a nadnárodním společnostem. Jinak oblastní pobočky jako v Boskovicích hodnotím především pro příležitostné návštěvy např. za účelem hotovostních služeb velmi příhodné,-).
446,"V KB jsem klientem od r. 1990 a nikdy jsem neměla důvod banku měnit . Jsem spokojená se službami banky i se svým bankovním poradcem paní Janou Zemánkovou. Na banku jsem nezanevřela ani po tom co jsem ji opustila coby bývalý zaměstanec, pracovala jsem tady 19 let, ale to, že jsem odešla neznamenalo, že bych měla odejít i jako klient. Jsem opravdu spokojená. ",
447,Nelze se korektně přihlasít do mojebanka.cz z prohlížeče Safari na MacOS.,
448,Nejsem s bankou spokojeny. Jsem klientem 20 let a nedostal jsem ani půjčku. Akorat jste mi udělaly finanční ujmu,
449,Poplatek za výběr z bakomatu,
450, malá produktová znalost zaměstnanců. Je na nich vidět,
451,Co chcete 10?,
452,Nelíbí se mi rušení Vašich poboček. Dokonce uvažuji o změně banky.,
453,Vysoké úroky,
454,Neusnout na vavřínech,
455,jsem spokojená s přístupem poradců ale nevyšli jste mi vstříc ohledně kontokorentů,
456,Poplatky.,
457,Velká spokojenost s vyřizováním a ochotou u přepážky.I internetové bankovnictví bez problému.,
458,Spokojen dlouhodobě ,
459,Jsou lehce nad průměrem ,
460,Dobrý den,
461,v jiných bankách je vedení účtu bez poplatků,
462,kolega mi tvrdí že jeho air banka má víc výhod,
463,Poplatek za vedení účtu ,
464,Protože spolipráce funguje prakticky bez problémů.,
465,Spolehlivost,
466,v komercni bance jsem dlouho a vystridal jsem nekolik bankovnich poradcu.zatim se mi jevi ta posledni jako nejlepsi.velky prehled a znalost bankovnich operaci.kontakt s klienty,
467,Absence pokladen na pobočkách....,
468,Velka sit bankomatu a pobocek,
469,"- nepodepsal jsem gdpr pro marketing, ale v systému je uvedeno, že ano; - při sjednávání půjčky mi nebyl nabídknut nízký, musel jsem si říct, pak se o něco snížil, ale stejně byl jiný než v reklamě, prý to víc nejde; - častá plánovaná nefunkčnost internet bankingu - když potřebujete vy změnit bankovního poradce, tak si mě přehazujete, jak se vám to hodí, když chci změnit já, tak musím za tím původním a podepisovat papír; - není možné vyjednat mimořádnou splátku na jiné pobočce než u svého bankovního poradce; - nemožnost v mobilní bance změnit si pořadí produktů, takže pro spořící účet musím skrolovat;  některé zásadní věci, které jsem vypsal, mi přijdou hrozné, ale jinak jsem byl spokojen ",
470,Na pobočkách mi chybí ochota a úsměv,
471,Protože už jsem doporučovala,
472,Kompletní nabídka služeb,
473,Protože jsem tam leta pracoval a její postupy znám (nebo očekávám),
474,Jsem spokojen ze službama. ,
475,Vsechno hodnotim kladne,
476,Mám účet ještě u jiné banky,
477,výborná mobilní aplikace  ochota pomoci při problémech ,
478,Chybi bezkontaktni bankomaty,
479,Otevřene a rychle řešení mych problemu.,
480,Spokojenost,
481,IB po update je dobre,
482,Velka nabidka produktu,
483,spořící účet má velmi nízkou úrokovou sazbu,
484,Vše ok,
485,dostalu jsme se v minusu.a dokud sme se dozvedeli prisli pikuty.500 jsme zaplatili.a dcera mela detsky.a kdyz jsem se zeptal proc pan co tam pracoval Kb Benesov byl jeste arogantni.to je teda uroven.,
486,Skvělé služby,
487,Když jsme potřebovali pomoc,
488,Nikdy jsem neměla problém. Nemám,
489,Nevim o tom ze mam banku,
490,Nemám s bankou žádný problém,
491,drahé služby,
